	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_1366	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Gallionellaceae	Sideroxydans	NA
ASV_1367	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Dietziaceae	Dietzia	NA
ASV_1368	Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae	Skermanella	aerolata
ASV_1369	Bacteria	Cyanobacteria	Cyanobacteriia	NA	NA	NA	NA
ASV_1370	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	coprophilus
ASV_1371	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Tatumella	NA
ASV_1372	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	NA
ASV_1373	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	NA	NA	NA
ASV_1374	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter	NA
ASV_1375	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	NA	NA
ASV_1376	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Colidextribacter	NA
ASV_1377	Bacteria	NA	NA	NA	NA	NA	NA
ASV_1378	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Faecalitalea	NA
ASV_1379	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	NA
ASV_1380	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Anaerostipes	caccae
ASV_1381	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	NA
ASV_1382	Bacteria	NA	NA	NA	NA	NA	NA
ASV_1383	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	NA
ASV_1384	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia	NA
ASV_1385	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia	NA
ASV_1386	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Nocardiaceae	Williamsia	NA
ASV_1387	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA	NA
ASV_1388	NA	NA	NA	NA	NA	NA	NA
ASV_1389	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	NA	NA
ASV_1390	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	A21b	NA	NA
ASV_1391	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	SWB02	NA
ASV_1392	Bacteria	NA	NA	NA	NA	NA	NA
ASV_1393	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	NA	NA	NA
ASV_1394	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	MND1	NA
ASV_1395	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae R-7 group	NA
ASV_1396	Bacteria	Bacteroidota	Ignavibacteria	SJA-28	NA	NA	NA
ASV_1397	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	NA	NA	NA
ASV_1398	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Anaerolinea	NA
ASV_1399	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylomonadaceae	Methylomicrobium	NA
ASV_1400	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	NA	NA
ASV_1401	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	NA	NA	NA
ASV_1402	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	NA	NA
ASV_1403	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	NA
ASV_1404	Bacteria	NA	NA	NA	NA	NA	NA
ASV_1405	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Eubacterium] hallii group	NA
ASV_1406	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella	NA
ASV_1407	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA
ASV_1408	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia	NA
ASV_1409	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Gluconobacter	NA
ASV_1410	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Gluconobacter	NA
ASV_1411	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Gallionellaceae	Gallionella	NA
